company,closing_stock_price,sector,popularity_score
Helix,216.37,consumer software,1
Orbit,939.4,consumer hardware,7
Pinnacle,800.22,consumer hardware,5
Zephyr,282.43,consumer hardware,3
Glow,107.41,consumer hardware,1
Vertex,945.33,consumer software,9
Pixel,477.9,government hardware,4
Flicker,448.58,consumer hardware,8
Sonic,986.31,government software,6
Quantum,258.73,consumer hardware,2
Quark,485.65,consumer software,1
Summit,700.14,government hardware,2
Nova,373.72,government software,7
Echo,791.15,government software,9
Titan,461.33,consumer hardware,2
Vortex,797.67,government hardware,9
Vortex,916.93,government software,3
Aether,660.38,consumer software,6
Aether,115.77,government software,6
Radiant,755.76,government hardware,7
Drift,995.72,consumer hardware,9
Halo,720.23,consumer hardware,3
Echo,465.25,consumer hardware,1
Helix,812.3,government hardware,8
Pinnacle,526.9,consumer hardware,7
Crystal,391.16,government hardware,9
Omega,150.26,government hardware,2
Ion,160.09,government software,8
Krypton,19.4,consumer hardware,5
Lucid,689.39,consumer hardware,6
Blaze,764.31,government hardware,9
Halo,729.35,government hardware,7
Cobalt,409.21,consumer software,9
Orbit,391.03,government hardware,6
Forge,250.08,consumer hardware,2
Wisp,370.03,government software,5
Knack,958.81,government software,1
Quark,106.47,consumer software,3
Summit,523.24,consumer hardware,2
Krypton,837.25,consumer software,7
Knack,385.17,government hardware,9
Umbra,404.88,government hardware,4
Krypton,198.31,government software,8
Glow,846.0,government hardware,3
Element,951.45,consumer hardware,1
Glide,61.16,consumer software,1
Jade,336.44,government software,4
Zenith,607.41,government hardware,10
Krypton,496.88,government hardware,9
Forge,844.33,consumer hardware,3
Glow,436.66,government hardware,3
Drift,809.43,government hardware,5
Nimbus,735.88,consumer software,7
Radiant,289.22,consumer software,10
Jolt,184.83,consumer hardware,1
Ion,547.43,consumer software,1
Lumen,891.35,government hardware,3
Titan,479.85,consumer hardware,9
Pixel,524.29,government software,8
Titan,702.74,government hardware,9
Nova,867.82,government software,5
Fusion,241.48,consumer software,7
Element,195.95,consumer software,9
Ember,694.66,consumer hardware,7
Echo,603.17,consumer hardware,3
Zephyr,923.33,consumer hardware,5
Sonic,989.24,consumer hardware,7
Jolt,398.79,government software,6
Vertex,512.7,government hardware,9
Orbit,559.65,government software,10
Fusion,603.85,government software,2
Quark,822.82,consumer software,1
Nimbus,769.73,government hardware,1
Quantum,77.39,government hardware,8
Cobalt,676.41,consumer hardware,1
Forge,618.75,government hardware,6
Xeno,934.45,consumer hardware,5
Matrix,326.43,government software,8
Glide,885.17,government software,3
Nova,201.33,government hardware,2
Yield,161.13,consumer software,4
Quark,880.28,government hardware,5
Pulse,211.43,government hardware,7
Ink,508.99,government hardware,1
Pixel,677.64,consumer software,3
Helix,543.75,government software,9
Vortex,682.31,consumer hardware,9
Aether,169.2,government hardware,5
Fusion,67.93,government hardware,9
Summit,654.31,consumer software,1
Xeno,509.85,consumer software,4
Nimbus,387.23,consumer software,3
Umbra,165.76,consumer software,7
